id,created_at,sport,league,home_team,away_team,outcome,coefficient,bookmaker,stake,ev_profit,real_profit,is_live,strategy
546,2025-11-25 15:59:17.296754+00,Tennis,itf men madrid,diego fernandez flores,pierre yves bailly,P1 T> 10.5,3.15,Sansabet,100,6.81,-100.00,true,
545,2025-11-25 15:59:07.131881+00,Tennis,itf men madrid,diego augusto barreto sanchez,pavel lagutin,P2 T< 7.5,2.45,Sansabet,100,3.15,-100.00,true,
544,2025-11-25 15:55:32.984778+00,Tennis,atp challenger temuco,juan manuel la serna,adhithya ganesan,2,2.45,Sansabet,100,12.62,-100.00,true,
542,2025-11-25 15:40:52.554524+00,Tennis,itf women lousada,khrystyna vozniak,alba rey garcia,P2 T> 9.5,2.75,Sansabet,100,16.77,-100.00,true,
541,2025-11-25 15:36:12.358373+00,Soccer,ethiopia premier league,ethiopian medhin,negele arsi ketema,T> 1.5,3,Sansabet,100,3.01,-100.00,true,
540,2025-11-25 15:19:17.575976+00,Soccer,georgia erovnuli liga,telavi,dinamo batumi,T< 1.5,3.2,Sansabet,100,3.44,-100.00,true,
538,2025-11-25 15:11:35.259916+00,Soccer,uefa youth league u19,marseille,newcastle united,H1 -1.5,3.35,Sansabet,100,4.63,235.00,true,
537,2025-11-25 15:10:03.160568+00,Tennis,itf women trnava,celine naef,lucia bronzetti,P1 T> 10.5,2.05,Sansabet,100,7.46,-100.00,true,
535,2025-11-25 15:05:36.93787+00,Tennis,atp challenger temuco,joao eduardo schiessl,matt kuhar,P1 1G 2.0,3.15,Sansabet,100,4.20,-100.00,true,
534,2025-11-25 15:04:12.877712+00,Tennis,wta 125k buenos aires,carole monnet,laura samson,P1 1G 4.0,2.35,Sansabet,100,8.19,135.00,true,
531,2025-11-25 14:58:18.771469+00,Tennis,atp challenger athens,arthur fery,aristotelis thanos,P3 1G 2.0,3.15,Sansabet,100,5.02,-98.11,true,
530,2025-11-25 14:48:20.324984+00,Tennis,itf women lousada,johanna silva,coco bosman,2,2.55,Sansabet,100,10.09,155.00,true,
529,2025-11-25 14:47:00.275102+00,Tennis,itf women ortisei,camilla zanolini,noemi maines,P2 T> 9.5,2.1,Sansabet,100,3.05,110.00,true,
526,2025-11-25 14:37:39.937612+00,Tennis,itf men santiago,ignacio antonio becerra otarola,alberto odiseo alvarado berrospi,P2 T< 9.5,1.93,Sansabet,100,19.47,93.00,true,
524,2025-11-25 14:35:45.808189+00,Soccer,england central league reserves,bolton wanderers,notts county,H1 -1.5,2.65,Sansabet,100,3.41,165.00,true,
523,2025-11-25 14:25:19.468124+00,Tennis,wta 125k buenos aires,varvara lepchenko,laura pigossi,T> 15.5,2,Sansabet,100,4.31,-100.00,true,
522,2025-11-25 14:22:19.634938+00,Soccer,england professional development league u21,charlton athletic,cardiff city,H2 -3.5,3.05,Sansabet,100,4.47,-100.00,true,
517,2025-11-25 14:08:50.851055+00,Tennis,itf men madrid,carles hernandez,izan almazan valiente,P2 1G 12.0,3.75,Sansabet,100,4.05,-100.00,true,
516,2025-11-25 14:07:52.801232+00,Tennis,itf women torello,carmen lopez martinez,carmen gallardo guevara,P2 T> 9.5,2.7,Sansabet,100,8.23,-100.00,true,
515,2025-11-25 14:05:58.875534+00,Tennis,itf men santiago,benjamin ignacio torres,lautaro correa beguerie,P2 T> 9.5,2.5,Sansabet,100,13.33,-100.00,true,
513,2025-11-25 14:01:20.602361+00,Tennis,itf men madrid,christian sigsgaard,luka talan lopatic,P1 T> 9.5,1.98,Sansabet,100,3.91,98.00,true,
512,2025-11-25 13:52:50.156729+00,Soccer,uefa u19 euro championship women qualifiers,israel,kazakhstan,IT2< 0.5,1.78,Sansabet,100,3.80,78.00,true,
510,2025-11-25 13:48:56.086572+00,Tennis,itf women torello,marta soriano santiago,ruth roura llaverias,P1 T< 9.5,1.78,Sansabet,100,13.98,-100.00,true,
