ставка_№,банк_до,пик_до,ставка_абс,ставка_%живого,исход,банк_после,DD_от_пика_%
5196,786.7755,2291.6558,7.8678,1.0000,LOSS,778.9078,-65.67
5197,778.9078,2291.6558,7.7891,1.0000,WIN,786.6968,-66.01
5198,786.6968,2291.6558,7.8670,1.0000,WIN,794.5638,-65.67
5199,794.5638,2291.6558,7.9456,1.0000,LOSS,786.6182,-65.33
5200,786.6182,2291.6558,7.8662,1.0000,WIN,794.4843,-65.67
5201,794.4843,2291.6558,7.9448,1.0000,WIN,802.4292,-65.33
5202,802.4292,2291.6558,8.0243,1.0000,WIN,810.4535,-64.98
5203,810.4535,2291.6558,8.1045,1.0000,LOSS,802.3489,-64.63
5204,802.3489,2291.6558,8.0235,1.0000,LOSS,794.3255,-64.99
5205,794.3255,2291.6558,7.9433,1.0000,WIN,802.2687,-65.34
5206,802.2687,2291.6558,8.0227,1.0000,WIN,810.2914,-64.99
5207,810.2914,2291.6558,8.1029,1.0000,LOSS,802.1885,-64.64
5208,802.1885,2291.6558,8.0219,1.0000,LOSS,794.1666,-65.00
5209,794.1666,2291.6558,7.9417,1.0000,WIN,802.1083,-65.35
5210,802.1083,2291.6558,8.0211,1.0000,WIN,810.1293,-65.00
5211,810.1293,2291.6558,8.1013,1.0000,WIN,818.2306,-64.65
5212,818.2306,2291.6558,8.1823,1.0000,WIN,826.4129,-64.30
5213,826.4129,2291.6558,8.2641,1.0000,LOSS,818.1488,-63.94
5214,818.1488,2291.6558,8.1815,1.0000,LOSS,809.9673,-64.30
5215,809.9673,2291.6558,8.0997,1.0000,LOSS,801.8677,-64.66
5216,801.8677,2291.6558,8.0187,1.0000,LOSS,793.8490,-65.01
5217,793.8490,2291.6558,7.9385,1.0000,WIN,801.7875,-65.36
5218,801.7875,2291.6558,8.0179,1.0000,LOSS,793.7696,-65.01
5219,793.7696,2291.6558,7.9377,1.0000,LOSS,785.8319,-65.36
5220,785.8319,2291.6558,7.8583,1.0000,WIN,793.6902,-65.71
5221,793.6902,2291.6558,7.9369,1.0000,LOSS,785.7533,-65.37
5222,785.7533,2291.6558,7.8575,1.0000,LOSS,777.8958,-65.71
5223,777.8958,2291.6558,7.7790,1.0000,WIN,785.6747,-66.06
5224,785.6747,2291.6558,7.8567,1.0000,WIN,793.5315,-65.72
5225,793.5315,2291.6558,7.9353,1.0000,LOSS,785.5962,-65.37
5226,785.5962,2291.6558,7.8560,1.0000,WIN,793.4521,-65.72
5227,793.4521,2291.6558,7.9345,1.0000,LOSS,785.5176,-65.38
5228,785.5176,2291.6558,7.8552,1.0000,LOSS,777.6624,-65.72
5229,777.6624,2291.6558,7.7766,1.0000,WIN,785.4391,-66.07
5230,785.4391,2291.6558,7.8544,1.0000,LOSS,777.5847,-65.73
5231,777.5847,2291.6558,7.7758,1.0000,WIN,785.3605,-66.07
5232,785.3605,2291.6558,7.8536,1.0000,LOSS,777.5069,-65.73
5233,777.5069,2291.6558,7.7751,1.0000,WIN,785.2820,-66.07
5234,785.2820,2291.6558,7.8528,1.0000,WIN,793.1348,-65.73
5235,793.1348,2291.6558,7.9313,1.0000,LOSS,785.2034,-65.39
5236,785.2034,2291.6558,7.8520,1.0000,LOSS,777.3514,-65.74
5237,777.3514,2291.6558,7.7735,1.0000,WIN,785.1249,-66.08
5238,785.1249,2291.6558,7.8512,1.0000,WIN,792.9762,-65.74
5239,792.9762,2291.6558,7.9298,1.0000,LOSS,785.0464,-65.40
5240,785.0464,2291.6558,7.8505,1.0000,LOSS,777.1960,-65.74
5241,777.1960,2291.6558,7.7720,1.0000,LOSS,769.4240,-66.09
5242,769.4240,2291.6558,7.6942,1.0000,LOSS,761.7298,-66.42
5243,761.7298,2291.6558,7.6173,1.0000,WIN,769.3471,-66.76
5244,769.3471,2291.6558,7.6935,1.0000,LOSS,761.6536,-66.43
5245,761.6536,2291.6558,7.6165,1.0000,WIN,769.2701,-66.76
5246,769.2701,2291.6558,7.6927,1.0000,WIN,776.9628,-66.43
5247,776.9628,2291.6558,7.7696,1.0000,LOSS,769.1932,-66.10
5248,769.1932,2291.6558,7.6919,1.0000,LOSS,761.5013,-66.44
5249,761.5013,2291.6558,7.6150,1.0000,LOSS,753.8862,-66.77
5250,753.8862,2291.6558,7.5389,1.0000,WIN,761.4251,-67.10
5251,761.4251,2291.6558,7.6143,1.0000,WIN,769.0394,-66.77
5252,769.0394,2291.6558,7.6904,1.0000,WIN,776.7298,-66.44
5253,776.7298,2291.6558,7.7673,1.0000,WIN,784.4970,-66.11
5254,784.4970,2291.6558,7.8450,1.0000,LOSS,776.6521,-65.77
5255,776.6521,2291.6558,7.7665,1.0000,LOSS,768.8856,-66.11
5256,768.8856,2291.6558,7.6889,1.0000,WIN,776.5744,-66.45
5257,776.5744,2291.6558,7.7657,1.0000,WIN,784.3402,-66.11
5258,784.3402,2291.6558,7.8434,1.0000,WIN,792.1836,-65.77
5259,792.1836,2291.6558,7.9218,1.0000,WIN,800.1054,-65.43
5260,800.1054,2291.6558,8.0011,1.0000,WIN,808.1064,-65.09
5261,808.1064,2291.6558,8.0811,1.0000,WIN,816.1875,-64.74
5262,816.1875,2291.6558,8.1619,1.0000,LOSS,808.0256,-64.38
5263,808.0256,2291.6558,8.0803,1.0000,LOSS,799.9454,-64.74
5264,799.9454,2291.6558,7.9995,1.0000,WIN,807.9448,-65.09
5265,807.9448,2291.6558,8.0794,1.0000,WIN,816.0243,-64.74
5266,816.0243,2291.6558,8.1602,1.0000,WIN,824.1845,-64.39
5267,824.1845,2291.6558,8.2418,1.0000,LOSS,815.9427,-64.04
5268,815.9427,2291.6558,8.1594,1.0000,WIN,824.1021,-64.40
5269,824.1021,2291.6558,8.2410,1.0000,LOSS,815.8611,-64.04
5270,815.8611,2291.6558,8.1586,1.0000,LOSS,807.7025,-64.40
5271,807.7025,2291.6558,8.0770,1.0000,WIN,815.7795,-64.75
5272,815.7795,2291.6558,8.1578,1.0000,LOSS,807.6217,-64.40
5273,807.6217,2291.6558,8.0762,1.0000,WIN,815.6979,-64.76
5274,815.6979,2291.6558,8.1570,1.0000,LOSS,807.5409,-64.41
5275,807.5409,2291.6558,8.0754,1.0000,LOSS,799.4655,-64.76
5276,799.4655,2291.6558,7.9947,1.0000,LOSS,791.4709,-65.11
5277,791.4709,2291.6558,7.9147,1.0000,WIN,799.3856,-65.46
5278,799.3856,2291.6558,7.9939,1.0000,LOSS,791.3917,-65.12
5279,791.3917,2291.6558,7.9139,1.0000,LOSS,783.4778,-65.47
5280,783.4778,2291.6558,7.8348,1.0000,WIN,791.3126,-65.81
5281,791.3126,2291.6558,7.9131,1.0000,LOSS,783.3995,-65.47
