ставка_№,банк_до,пик_до,ставка_абс,ставка_%живого,исход,банк_после,DD_от_пика_%
0,1000.0000,1000.0000,10.0000,1.0000,LOSS,990.0000,0.00
1,990.0000,1000.0000,9.9000,1.0000,LOSS,980.1000,-1.00
2,980.1000,1000.0000,9.8010,1.0000,LOSS,970.2990,-1.99
3,970.2990,1000.0000,9.7030,1.0000,LOSS,960.5960,-2.97
4,960.5960,1000.0000,9.6060,1.0000,LOSS,950.9900,-3.94
5,950.9900,1000.0000,9.5099,1.0000,WIN,960.5000,-4.90
6,960.5000,1000.0000,9.6050,1.0000,WIN,970.1049,-3.95
7,970.1049,1000.0000,9.7010,1.0000,LOSS,960.4039,-2.99
8,960.4039,1000.0000,9.6040,1.0000,LOSS,950.7999,-3.96
9,950.7999,1000.0000,9.5080,1.0000,LOSS,941.2919,-4.92
10,941.2919,1000.0000,9.4129,1.0000,LOSS,931.8789,-5.87
11,931.8789,1000.0000,9.3188,1.0000,LOSS,922.5602,-6.81
12,922.5602,1000.0000,9.2256,1.0000,WIN,931.7858,-7.74
13,931.7858,1000.0000,9.3179,1.0000,WIN,941.1036,-6.82
14,941.1036,1000.0000,9.4110,1.0000,WIN,950.5146,-5.89
15,950.5146,1000.0000,9.5051,1.0000,WIN,960.0198,-4.95
16,960.0198,1000.0000,9.6002,1.0000,LOSS,950.4196,-4.00
17,950.4196,1000.0000,9.5042,1.0000,WIN,959.9238,-4.96
18,959.9238,1000.0000,9.5992,1.0000,WIN,969.5230,-4.01
19,969.5230,1000.0000,9.6952,1.0000,LOSS,959.8278,-3.05
20,959.8278,1000.0000,9.5983,1.0000,LOSS,950.2295,-4.02
21,950.2295,1000.0000,9.5023,1.0000,LOSS,940.7272,-4.98
22,940.7272,1000.0000,9.4073,1.0000,WIN,950.1345,-5.93
23,950.1345,1000.0000,9.5013,1.0000,WIN,959.6358,-4.99
24,959.6358,1000.0000,9.5964,1.0000,LOSS,950.0395,-4.04
25,950.0395,1000.0000,9.5004,1.0000,LOSS,940.5391,-5.00
26,940.5391,1000.0000,9.4054,1.0000,WIN,949.9445,-5.95
27,949.9445,1000.0000,9.4994,1.0000,LOSS,940.4450,-5.01
28,940.4450,1000.0000,9.4045,1.0000,LOSS,931.0406,-5.96
29,931.0406,1000.0000,9.3104,1.0000,WIN,940.3510,-6.90
30,940.3510,1000.0000,9.4035,1.0000,WIN,949.7545,-5.96
31,949.7545,1000.0000,9.4975,1.0000,WIN,959.2520,-5.02
32,959.2520,1000.0000,9.5925,1.0000,WIN,968.8446,-4.07
33,968.8446,1000.0000,9.6884,1.0000,WIN,978.5330,-3.12
34,978.5330,1000.0000,9.7853,1.0000,LOSS,968.7477,-2.15
35,968.7477,1000.0000,9.6875,1.0000,LOSS,959.0602,-3.13
36,959.0602,1000.0000,9.5906,1.0000,WIN,968.6508,-4.09
37,968.6508,1000.0000,9.6865,1.0000,WIN,978.3373,-3.13
38,978.3373,1000.0000,9.7834,1.0000,LOSS,968.5539,-2.17
39,968.5539,1000.0000,9.6855,1.0000,WIN,978.2395,-3.14
40,978.2395,1000.0000,9.7824,1.0000,WIN,988.0219,-2.18
41,988.0219,1000.0000,9.8802,1.0000,LOSS,978.1417,-1.20
42,978.1417,1000.0000,9.7814,1.0000,LOSS,968.3602,-2.19
43,968.3602,1000.0000,9.6836,1.0000,WIN,978.0438,-3.16
44,978.0438,1000.0000,9.7804,1.0000,LOSS,968.2634,-2.20
45,968.2634,1000.0000,9.6826,1.0000,LOSS,958.5808,-3.17
46,958.5808,1000.0000,9.5858,1.0000,WIN,968.1666,-4.14
47,968.1666,1000.0000,9.6817,1.0000,WIN,977.8482,-3.18
48,977.8482,1000.0000,9.7785,1.0000,LOSS,968.0698,-2.22
49,968.0698,1000.0000,9.6807,1.0000,WIN,977.7505,-3.19
50,977.7505,1000.0000,9.7775,1.0000,LOSS,967.9730,-2.22
51,967.9730,1000.0000,9.6797,1.0000,WIN,977.6527,-3.20
52,977.6527,1000.0000,9.7765,1.0000,WIN,987.4292,-2.23
53,987.4292,1000.0000,9.8743,1.0000,WIN,997.3035,-1.26
54,997.3035,1000.0000,9.9730,1.0000,WIN,1007.2765,-0.27
55,1007.2765,1007.2765,10.0728,1.0000,WIN,1017.3493,0.00
56,1017.3493,1017.3493,10.1735,1.0000,LOSS,1007.1758,0.00
57,1007.1758,1017.3493,10.0718,1.0000,LOSS,997.1041,-1.00
58,997.1041,1017.3493,9.9710,1.0000,WIN,1007.0751,-1.99
59,1007.0751,1017.3493,10.0708,1.0000,WIN,1017.1458,-1.01
60,1017.1458,1017.3493,10.1715,1.0000,LOSS,1006.9744,-0.02
61,1006.9744,1017.3493,10.0697,1.0000,LOSS,996.9046,-1.02
62,996.9046,1017.3493,9.9690,1.0000,LOSS,986.9356,-2.01
63,986.9356,1017.3493,9.8694,1.0000,WIN,996.8050,-2.99
64,996.8050,1017.3493,9.9680,1.0000,WIN,1006.7730,-2.02
65,1006.7730,1017.3493,10.0677,1.0000,WIN,1016.8407,-1.04
66,1016.8407,1017.3493,10.1684,1.0000,WIN,1027.0091,-0.05
67,1027.0091,1027.0091,10.2701,1.0000,LOSS,1016.7391,0.00
68,1016.7391,1027.0091,10.1674,1.0000,WIN,1026.9064,-1.00
69,1026.9064,1027.0091,10.2691,1.0000,LOSS,1016.6374,-0.01
70,1016.6374,1027.0091,10.1664,1.0000,WIN,1026.8038,-1.01
71,1026.8038,1027.0091,10.2680,1.0000,WIN,1037.0718,-0.02
72,1037.0718,1037.0718,10.3707,1.0000,WIN,1047.4425,0.00
73,1047.4425,1047.4425,10.4744,1.0000,LOSS,1036.9681,0.00
74,1036.9681,1047.4425,10.3697,1.0000,LOSS,1026.5984,-1.00
75,1026.5984,1047.4425,10.2660,1.0000,WIN,1036.8644,-1.99
76,1036.8644,1047.4425,10.3686,1.0000,WIN,1047.2330,-1.01
77,1047.2330,1047.4425,10.4723,1.0000,LOSS,1036.7607,-0.02
78,1036.7607,1047.4425,10.3676,1.0000,LOSS,1026.3931,-1.02
79,1026.3931,1047.4425,10.2639,1.0000,LOSS,1016.1292,-2.01
80,1016.1292,1047.4425,10.1613,1.0000,LOSS,1005.9679,-2.99
81,1005.9679,1047.4425,10.0597,1.0000,WIN,1016.0275,-3.96
82,1016.0275,1047.4425,10.1603,1.0000,LOSS,1005.8673,-3.00
83,1005.8673,1047.4425,10.0587,1.0000,WIN,1015.9259,-3.97
84,1015.9259,1047.4425,10.1593,1.0000,WIN,1026.0852,-3.01
85,1026.0852,1047.4425,10.2609,1.0000,LOSS,1015.8244,-2.04
86,1015.8244,1047.4425,10.1582,1.0000,WIN,1025.9826,-3.02
87,1025.9826,1047.4425,10.2598,1.0000,WIN,1036.2424,-2.05
88,1036.2424,1047.4425,10.3624,1.0000,WIN,1046.6048,-1.07
89,1046.6048,1047.4425,10.4660,1.0000,LOSS,1036.1388,-0.08
90,1036.1388,1047.4425,10.3614,1.0000,LOSS,1025.7774,-1.08
91,1025.7774,1047.4425,10.2578,1.0000,LOSS,1015.5196,-2.07
92,1015.5196,1047.4425,10.1552,1.0000,LOSS,1005.3644,-3.05
93,1005.3644,1047.4425,10.0536,1.0000,LOSS,995.3108,-4.02
94,995.3108,1047.4425,9.9531,1.0000,WIN,1005.2639,-4.98
95,1005.2639,1047.4425,10.0526,1.0000,LOSS,995.2113,-4.03
96,995.2113,1047.4425,9.9521,1.0000,WIN,1005.1634,-4.99
97,1005.1634,1047.4425,10.0516,1.0000,LOSS,995.1117,-4.04
98,995.1117,1047.4425,9.9511,1.0000,WIN,1005.0629,-5.00
99,1005.0629,1047.4425,10.0506,1.0000,LOSS,995.0122,-4.05
100,995.0122,1047.4425,9.9501,1.0000,WIN,1004.9624,-5.01
101,1004.9624,1047.4425,10.0496,1.0000,WIN,1015.0120,-4.06
102,1015.0120,1047.4425,10.1501,1.0000,LOSS,1004.8619,-3.10
103,1004.8619,1047.4425,10.0486,1.0000,WIN,1014.9105,-4.07
104,1014.9105,1047.4425,10.1491,1.0000,LOSS,1004.7614,-3.11
105,1004.7614,1047.4425,10.0476,1.0000,WIN,1014.8090,-4.07
106,1014.8090,1047.4425,10.1481,1.0000,WIN,1024.9571,-3.12
107,1024.9571,1047.4425,10.2496,1.0000,LOSS,1014.7075,-2.15
108,1014.7075,1047.4425,10.1471,1.0000,WIN,1024.8546,-3.13
109,1024.8546,1047.4425,10.2485,1.0000,LOSS,1014.6060,-2.16
110,1014.6060,1047.4425,10.1461,1.0000,WIN,1024.7521,-3.13
111,1024.7521,1047.4425,10.2475,1.0000,LOSS,1014.5046,-2.17
112,1014.5046,1047.4425,10.1450,1.0000,WIN,1024.6496,-3.14
113,1024.6496,1047.4425,10.2465,1.0000,WIN,1034.8961,-2.18
114,1034.8961,1047.4425,10.3490,1.0000,WIN,1045.2451,-1.20
115,1045.2451,1047.4425,10.4525,1.0000,WIN,1055.6975,-0.21
116,1055.6975,1055.6975,10.5570,1.0000,WIN,1066.2545,0.00
117,1066.2545,1066.2545,10.6625,1.0000,WIN,1076.9170,0.00
118,1076.9170,1076.9170,10.7692,1.0000,LOSS,1066.1479,0.00
119,1066.1479,1076.9170,10.6615,1.0000,WIN,1076.8094,-1.00
120,1076.8094,1076.9170,10.7681,1.0000,LOSS,1066.0413,-0.01
121,1066.0413,1076.9170,10.6604,1.0000,LOSS,1055.3808,-1.01
122,1055.3808,1076.9170,10.5538,1.0000,WIN,1065.9347,-2.00
123,1065.9347,1076.9170,10.6593,1.0000,LOSS,1055.2753,-1.02
124,1055.2753,1076.9170,10.5528,1.0000,LOSS,1044.7226,-2.01
125,1044.7226,1076.9170,10.4472,1.0000,LOSS,1034.2753,-2.99
126,1034.2753,1076.9170,10.3428,1.0000,LOSS,1023.9326,-3.96
127,1023.9326,1076.9170,10.2393,1.0000,WIN,1034.1719,-4.92
128,1034.1719,1076.9170,10.3417,1.0000,LOSS,1023.8302,-3.97
129,1023.8302,1076.9170,10.2383,1.0000,WIN,1034.0685,-4.93
130,1034.0685,1076.9170,10.3407,1.0000,WIN,1044.4092,-3.98
131,1044.4092,1076.9170,10.4441,1.0000,WIN,1054.8533,-3.02
132,1054.8533,1076.9170,10.5485,1.0000,LOSS,1044.3047,-2.05
133,1044.3047,1076.9170,10.4430,1.0000,LOSS,1033.8617,-3.03
134,1033.8617,1076.9170,10.3386,1.0000,WIN,1044.2003,-4.00
135,1044.2003,1076.9170,10.4420,1.0000,LOSS,1033.7583,-3.04
136,1033.7583,1076.9170,10.3376,1.0000,WIN,1044.0959,-4.01
137,1044.0959,1076.9170,10.4410,1.0000,LOSS,1033.6549,-3.05
138,1033.6549,1076.9170,10.3365,1.0000,LOSS,1023.3184,-4.02
139,1023.3184,1076.9170,10.2332,1.0000,LOSS,1013.0852,-4.98
140,1013.0852,1076.9170,10.1309,1.0000,LOSS,1002.9543,-5.93
141,1002.9543,1076.9170,10.0295,1.0000,WIN,1012.9839,-6.87
142,1012.9839,1076.9170,10.1298,1.0000,LOSS,1002.8540,-5.94
143,1002.8540,1076.9170,10.0285,1.0000,LOSS,992.8255,-6.88
144,992.8255,1076.9170,9.9283,1.0000,LOSS,982.8972,-7.81
145,982.8972,1076.9170,9.8290,1.0000,LOSS,973.0683,-8.73
146,973.0683,1076.9170,9.7307,1.0000,WIN,982.7990,-9.64
147,982.7990,1076.9170,9.8280,1.0000,LOSS,972.9710,-8.74
148,972.9710,1076.9170,9.7297,1.0000,LOSS,963.2413,-9.65
149,963.2413,1076.9170,9.6324,1.0000,LOSS,953.6088,-10.56
150,953.6088,1076.9170,9.5361,1.0000,LOSS,944.0728,-11.45
151,944.0728,1076.9170,9.4407,1.0000,LOSS,934.6320,-12.34
152,934.6320,1076.9170,9.3463,1.0000,WIN,943.9783,-13.21
153,943.9783,1076.9170,9.4398,1.0000,LOSS,934.5386,-12.34
154,934.5386,1076.9170,9.3454,1.0000,WIN,943.8840,-13.22
155,943.8840,1076.9170,9.4388,1.0000,WIN,953.3228,-12.35
156,953.3228,1076.9170,9.5332,1.0000,LOSS,943.7896,-11.48
157,943.7896,1076.9170,9.4379,1.0000,WIN,953.2275,-12.36
158,953.2275,1076.9170,9.5323,1.0000,WIN,962.7597,-11.49
159,962.7597,1076.9170,9.6276,1.0000,LOSS,953.1321,-10.60
160,953.1321,1076.9170,9.5313,1.0000,WIN,962.6635,-11.49
161,962.6635,1076.9170,9.6266,1.0000,WIN,972.2901,-10.61
162,972.2901,1076.9170,9.7229,1.0000,WIN,982.0130,-9.72
163,982.0130,1076.9170,9.8201,1.0000,WIN,991.8331,-8.81
164,991.8331,1076.9170,9.9183,1.0000,WIN,1001.7515,-7.90
165,1001.7515,1076.9170,10.0175,1.0000,WIN,1011.7690,-6.98
166,1011.7690,1076.9170,10.1177,1.0000,WIN,1021.8867,-6.05
167,1021.8867,1076.9170,10.2189,1.0000,LOSS,1011.6678,-5.11
168,1011.6678,1076.9170,10.1167,1.0000,WIN,1021.7845,-6.06
169,1021.7845,1076.9170,10.2178,1.0000,WIN,1032.0023,-5.12
170,1032.0023,1076.9170,10.3200,1.0000,WIN,1042.3223,-4.17
171,1042.3223,1076.9170,10.4232,1.0000,LOSS,1031.8991,-3.21
172,1031.8991,1076.9170,10.3190,1.0000,LOSS,1021.5801,-4.18
173,1021.5801,1076.9170,10.2158,1.0000,LOSS,1011.3643,-5.14
174,1011.3643,1076.9170,10.1136,1.0000,WIN,1021.4780,-6.09
175,1021.4780,1076.9170,10.2148,1.0000,WIN,1031.6927,-5.15
176,1031.6927,1076.9170,10.3169,1.0000,LOSS,1021.3758,-4.20
177,1021.3758,1076.9170,10.2138,1.0000,WIN,1031.5896,-5.16
178,1031.5896,1076.9170,10.3159,1.0000,LOSS,1021.2737,-4.21
179,1021.2737,1076.9170,10.2127,1.0000,LOSS,1011.0609,-5.17
180,1011.0609,1076.9170,10.1106,1.0000,LOSS,1000.9503,-6.12
181,1000.9503,1076.9170,10.0095,1.0000,WIN,1010.9598,-7.05
182,1010.9598,1076.9170,10.1096,1.0000,LOSS,1000.8502,-6.12
183,1000.8502,1076.9170,10.0085,1.0000,WIN,1010.8587,-7.06
184,1010.8587,1076.9170,10.1086,1.0000,WIN,1020.9673,-6.13
185,1020.9673,1076.9170,10.2097,1.0000,WIN,1031.1770,-5.20
186,1031.1770,1076.9170,10.3118,1.0000,WIN,1041.4888,-4.25
187,1041.4888,1076.9170,10.4149,1.0000,LOSS,1031.0739,-3.29
188,1031.0739,1076.9170,10.3107,1.0000,WIN,1041.3846,-4.26
189,1041.3846,1076.9170,10.4138,1.0000,WIN,1051.7985,-3.30
190,1051.7985,1076.9170,10.5180,1.0000,LOSS,1041.2805,-2.33
191,1041.2805,1076.9170,10.4128,1.0000,LOSS,1030.8677,-3.31
192,1030.8677,1076.9170,10.3087,1.0000,LOSS,1020.5590,-4.28
193,1020.5590,1076.9170,10.2056,1.0000,WIN,1030.7646,-5.23
194,1030.7646,1076.9170,10.3076,1.0000,LOSS,1020.4569,-4.29
195,1020.4569,1076.9170,10.2046,1.0000,WIN,1030.6615,-5.24
196,1030.6615,1076.9170,10.3066,1.0000,LOSS,1020.3549,-4.30
197,1020.3549,1076.9170,10.2035,1.0000,WIN,1030.5584,-5.25
198,1030.5584,1076.9170,10.3056,1.0000,LOSS,1020.2529,-4.30
199,1020.2529,1076.9170,10.2025,1.0000,LOSS,1010.0503,-5.26
200,1010.0503,1076.9170,10.1005,1.0000,WIN,1020.1508,-6.21
201,1020.1508,1076.9170,10.2015,1.0000,LOSS,1009.9493,-5.27
202,1009.9493,1076.9170,10.0995,1.0000,WIN,1020.0488,-6.22
203,1020.0488,1076.9170,10.2005,1.0000,WIN,1030.2493,-5.28
204,1030.2493,1076.9170,10.3025,1.0000,WIN,1040.5518,-4.33
205,1040.5518,1076.9170,10.4055,1.0000,WIN,1050.9573,-3.38
206,1050.9573,1076.9170,10.5096,1.0000,LOSS,1040.4477,-2.41
207,1040.4477,1076.9170,10.4045,1.0000,WIN,1050.8522,-3.39
208,1050.8522,1076.9170,10.5085,1.0000,WIN,1061.3607,-2.42
209,1061.3607,1076.9170,10.6136,1.0000,WIN,1071.9744,-1.44
210,1071.9744,1076.9170,10.7197,1.0000,WIN,1082.6941,-0.46
211,1082.6941,1082.6941,10.8269,1.0000,WIN,1093.5210,0.00
212,1093.5210,1093.5210,10.9352,1.0000,LOSS,1082.5858,0.00
213,1082.5858,1093.5210,10.8259,1.0000,WIN,1093.4117,-1.00
214,1093.4117,1093.5210,10.9341,1.0000,LOSS,1082.4776,-0.01
215,1082.4776,1093.5210,10.8248,1.0000,LOSS,1071.6528,-1.01
216,1071.6528,1093.5210,10.7165,1.0000,LOSS,1060.9363,-2.00
217,1060.9363,1093.5210,10.6094,1.0000,LOSS,1050.3269,-2.98
218,1050.3269,1093.5210,10.5033,1.0000,WIN,1060.8302,-3.95
219,1060.8302,1093.5210,10.6083,1.0000,LOSS,1050.2219,-2.99
220,1050.2219,1093.5210,10.5022,1.0000,LOSS,1039.7197,-3.96
221,1039.7197,1093.5210,10.3972,1.0000,LOSS,1029.3225,-4.92
222,1029.3225,1093.5210,10.2932,1.0000,WIN,1039.6157,-5.87
223,1039.6157,1093.5210,10.3962,1.0000,LOSS,1029.2195,-4.93
224,1029.2195,1093.5210,10.2922,1.0000,LOSS,1018.9273,-5.88
225,1018.9273,1093.5210,10.1893,1.0000,LOSS,1008.7381,-6.82
226,1008.7381,1093.5210,10.0874,1.0000,WIN,1018.8254,-7.75
227,1018.8254,1093.5210,10.1883,1.0000,LOSS,1008.6372,-6.83
228,1008.6372,1093.5210,10.0864,1.0000,LOSS,998.5508,-7.76
229,998.5508,1093.5210,9.9855,1.0000,LOSS,988.5653,-8.68
230,988.5653,1093.5210,9.8857,1.0000,WIN,998.4510,-9.60
231,998.4510,1093.5210,9.9845,1.0000,WIN,1008.4355,-8.69
232,1008.4355,1093.5210,10.0844,1.0000,LOSS,998.3511,-7.78
233,998.3511,1093.5210,9.9835,1.0000,WIN,1008.3346,-8.70
234,1008.3346,1093.5210,10.0833,1.0000,LOSS,998.2513,-7.79
235,998.2513,1093.5210,9.9825,1.0000,WIN,1008.2338,-8.71
236,1008.2338,1093.5210,10.0823,1.0000,WIN,1018.3161,-7.80
237,1018.3161,1093.5210,10.1832,1.0000,LOSS,1008.1330,-6.88
238,1008.1330,1093.5210,10.0813,1.0000,WIN,1018.2143,-7.81
239,1018.2143,1093.5210,10.1821,1.0000,LOSS,1008.0322,-6.89
240,1008.0322,1093.5210,10.0803,1.0000,WIN,1018.1125,-7.82
241,1018.1125,1093.5210,10.1811,1.0000,WIN,1028.2936,-6.90
242,1028.2936,1093.5210,10.2829,1.0000,WIN,1038.5765,-5.96
243,1038.5765,1093.5210,10.3858,1.0000,WIN,1048.9623,-5.02
244,1048.9623,1093.5210,10.4896,1.0000,WIN,1059.4519,-4.07
245,1059.4519,1093.5210,10.5945,1.0000,WIN,1070.0464,-3.12
246,1070.0464,1093.5210,10.7005,1.0000,WIN,1080.7469,-2.15
247,1080.7469,1093.5210,10.8075,1.0000,LOSS,1069.9394,-1.17
248,1069.9394,1093.5210,10.6994,1.0000,LOSS,1059.2400,-2.16
249,1059.2400,1093.5210,10.5924,1.0000,LOSS,1048.6476,-3.13
250,1048.6476,1093.5210,10.4865,1.0000,LOSS,1038.1612,-4.10
251,1038.1612,1093.5210,10.3816,1.0000,WIN,1048.5428,-5.06
252,1048.5428,1093.5210,10.4854,1.0000,WIN,1059.0282,-4.11
253,1059.0282,1093.5210,10.5903,1.0000,WIN,1069.6185,-3.15
254,1069.6185,1093.5210,10.6962,1.0000,WIN,1080.3147,-2.19
255,1080.3147,1093.5210,10.8031,1.0000,LOSS,1069.5115,-1.21
256,1069.5115,1093.5210,10.6951,1.0000,LOSS,1058.8164,-2.20
257,1058.8164,1093.5210,10.5882,1.0000,LOSS,1048.2282,-3.17
258,1048.2282,1093.5210,10.4823,1.0000,WIN,1058.7105,-4.14
259,1058.7105,1093.5210,10.5871,1.0000,WIN,1069.2976,-3.18
260,1069.2976,1093.5210,10.6930,1.0000,LOSS,1058.6047,-2.22
261,1058.6047,1093.5210,10.5860,1.0000,WIN,1069.1907,-3.19
262,1069.1907,1093.5210,10.6919,1.0000,WIN,1079.8826,-2.22
263,1079.8826,1093.5210,10.7988,1.0000,LOSS,1069.0838,-1.25
264,1069.0838,1093.5210,10.6908,1.0000,LOSS,1058.3929,-2.23
265,1058.3929,1093.5210,10.5839,1.0000,WIN,1068.9769,-3.21
266,1068.9769,1093.5210,10.6898,1.0000,WIN,1079.6666,-2.24
267,1079.6666,1093.5210,10.7967,1.0000,WIN,1090.4633,-1.27
268,1090.4633,1093.5210,10.9046,1.0000,LOSS,1079.5587,-0.28
269,1079.5587,1093.5210,10.7956,1.0000,LOSS,1068.7631,-1.28
270,1068.7631,1093.5210,10.6876,1.0000,WIN,1079.4507,-2.26
271,1079.4507,1093.5210,10.7945,1.0000,WIN,1090.2452,-1.29
272,1090.2452,1093.5210,10.9025,1.0000,LOSS,1079.3428,-0.30
273,1079.3428,1093.5210,10.7934,1.0000,WIN,1090.1362,-1.30
274,1090.1362,1093.5210,10.9014,1.0000,WIN,1101.0376,-0.31
275,1101.0376,1101.0376,11.0104,1.0000,LOSS,1090.0272,0.00
276,1090.0272,1101.0376,10.9003,1.0000,WIN,1100.9275,-1.00
277,1100.9275,1101.0376,11.0093,1.0000,LOSS,1089.9182,-0.01
278,1089.9182,1101.0376,10.8992,1.0000,LOSS,1079.0190,-1.01
279,1079.0190,1101.0376,10.7902,1.0000,WIN,1089.8092,-2.00
280,1089.8092,1101.0376,10.8981,1.0000,WIN,1100.7073,-1.02
281,1100.7073,1101.0376,11.0071,1.0000,WIN,1111.7144,-0.03
282,1111.7144,1111.7144,11.1171,1.0000,WIN,1122.8315,0.00
283,1122.8315,1122.8315,11.2283,1.0000,WIN,1134.0598,0.00
284,1134.0598,1134.0598,11.3406,1.0000,LOSS,1122.7192,0.00
285,1122.7192,1134.0598,11.2272,1.0000,LOSS,1111.4920,-1.00
286,1111.4920,1134.0598,11.1149,1.0000,WIN,1122.6070,-1.99
287,1122.6070,1134.0598,11.2261,1.0000,LOSS,1111.3809,-1.01
288,1111.3809,1134.0598,11.1138,1.0000,LOSS,1100.2671,-2.00
289,1100.2671,1134.0598,11.0027,1.0000,LOSS,1089.2644,-2.98
290,1089.2644,1134.0598,10.8926,1.0000,WIN,1100.1570,-3.95
291,1100.1570,1134.0598,11.0016,1.0000,LOSS,1089.1555,-2.99
292,1089.1555,1134.0598,10.8916,1.0000,LOSS,1078.2639,-3.96
293,1078.2639,1134.0598,10.7826,1.0000,WIN,1089.0466,-4.92
294,1089.0466,1134.0598,10.8905,1.0000,WIN,1099.9370,-3.97
295,1099.9370,1134.0598,10.9994,1.0000,LOSS,1088.9377,-3.01
296,1088.9377,1134.0598,10.8894,1.0000,WIN,1099.8270,-3.98
297,1099.8270,1134.0598,10.9983,1.0000,LOSS,1088.8288,-3.02
298,1088.8288,1134.0598,10.8883,1.0000,LOSS,1077.9405,-3.99
299,1077.9405,1134.0598,10.7794,1.0000,LOSS,1067.1611,-4.95
300,1067.1611,1134.0598,10.6716,1.0000,LOSS,1056.4895,-5.90
301,1056.4895,1134.0598,10.5649,1.0000,LOSS,1045.9246,-6.84
302,1045.9246,1134.0598,10.4592,1.0000,LOSS,1035.4653,-7.77
303,1035.4653,1134.0598,10.3547,1.0000,LOSS,1025.1107,-8.69
304,1025.1107,1134.0598,10.2511,1.0000,LOSS,1014.8596,-9.61
305,1014.8596,1134.0598,10.1486,1.0000,WIN,1025.0082,-10.51
306,1025.0082,1134.0598,10.2501,1.0000,WIN,1035.2582,-9.62
307,1035.2582,1134.0598,10.3526,1.0000,WIN,1045.6108,-8.71
308,1045.6108,1134.0598,10.4561,1.0000,LOSS,1035.1547,-7.80
309,1035.1547,1134.0598,10.3515,1.0000,LOSS,1024.8032,-8.72
310,1024.8032,1134.0598,10.2480,1.0000,WIN,1035.0512,-9.63
311,1035.0512,1134.0598,10.3505,1.0000,WIN,1045.4017,-8.73
312,1045.4017,1134.0598,10.4540,1.0000,WIN,1055.8557,-7.82
313,1055.8557,1134.0598,10.5586,1.0000,LOSS,1045.2972,-6.90
314,1045.2972,1134.0598,10.4530,1.0000,WIN,1055.7501,-7.83
315,1055.7501,1134.0598,10.5575,1.0000,WIN,1066.3076,-6.91
316,1066.3076,1134.0598,10.6631,1.0000,LOSS,1055.6446,-5.97
317,1055.6446,1134.0598,10.5564,1.0000,WIN,1066.2010,-6.91
318,1066.2010,1134.0598,10.6620,1.0000,LOSS,1055.5390,-5.98
319,1055.5390,1134.0598,10.5554,1.0000,LOSS,1044.9836,-6.92
320,1044.9836,1134.0598,10.4498,1.0000,WIN,1055.4334,-7.85
321,1055.4334,1134.0598,10.5543,1.0000,WIN,1065.9878,-6.93
322,1065.9878,1134.0598,10.6599,1.0000,WIN,1076.6477,-6.00
323,1076.6477,1134.0598,10.7665,1.0000,WIN,1087.4141,-5.06
324,1087.4141,1134.0598,10.8741,1.0000,WIN,1098.2883,-4.11
325,1098.2883,1134.0598,10.9829,1.0000,WIN,1109.2712,-3.15
326,1109.2712,1134.0598,11.0927,1.0000,WIN,1120.3639,-2.19
327,1120.3639,1134.0598,11.2036,1.0000,WIN,1131.5675,-1.21
328,1131.5675,1134.0598,11.3157,1.0000,WIN,1142.8832,-0.22
329,1142.8832,1142.8832,11.4288,1.0000,LOSS,1131.4544,0.00
330,1131.4544,1142.8832,11.3145,1.0000,LOSS,1120.1398,-1.00
331,1120.1398,1142.8832,11.2014,1.0000,WIN,1131.3412,-1.99
332,1131.3412,1142.8832,11.3134,1.0000,WIN,1142.6546,-1.01
333,1142.6546,1142.8832,11.4265,1.0000,WIN,1154.0812,-0.02
334,1154.0812,1154.0812,11.5408,1.0000,LOSS,1142.5404,0.00
335,1142.5404,1154.0812,11.4254,1.0000,LOSS,1131.1149,-1.00
336,1131.1149,1154.0812,11.3111,1.0000,WIN,1142.4261,-1.99
337,1142.4261,1154.0812,11.4243,1.0000,WIN,1153.8504,-1.01
338,1153.8504,1154.0812,11.5385,1.0000,WIN,1165.3889,-0.02
339,1165.3889,1165.3889,11.6539,1.0000,LOSS,1153.7350,0.00
340,1153.7350,1165.3889,11.5373,1.0000,WIN,1165.2723,-1.00
341,1165.2723,1165.3889,11.6527,1.0000,LOSS,1153.6196,-0.01
342,1153.6196,1165.3889,11.5362,1.0000,LOSS,1142.0834,-1.01
343,1142.0834,1165.3889,11.4208,1.0000,WIN,1153.5042,-2.00
344,1153.5042,1165.3889,11.5350,1.0000,WIN,1165.0393,-1.02
345,1165.0393,1165.3889,11.6504,1.0000,LOSS,1153.3889,-0.03
346,1153.3889,1165.3889,11.5339,1.0000,WIN,1164.9228,-1.03
347,1164.9228,1165.3889,11.6492,1.0000,WIN,1176.5720,-0.04
348,1176.5720,1176.5720,11.7657,1.0000,WIN,1188.3377,0.00
349,1188.3377,1188.3377,11.8834,1.0000,LOSS,1176.4543,0.00
350,1176.4543,1188.3377,11.7645,1.0000,LOSS,1164.6898,-1.00
351,1164.6898,1188.3377,11.6469,1.0000,LOSS,1153.0429,-1.99
352,1153.0429,1188.3377,11.5304,1.0000,WIN,1164.5733,-2.97
353,1164.5733,1188.3377,11.6457,1.0000,WIN,1176.2191,-2.00
354,1176.2191,1188.3377,11.7622,1.0000,LOSS,1164.4569,-1.02
355,1164.4569,1188.3377,11.6446,1.0000,LOSS,1152.8123,-2.01
356,1152.8123,1188.3377,11.5281,1.0000,LOSS,1141.2842,-2.99
357,1141.2842,1188.3377,11.4128,1.0000,WIN,1152.6970,-3.96
