defaultRisk,profit,bankrupt,dd50,dd80,worst_dd,efficiency
3.0,3166.4211393526953,0.06999999999999999,99.92,74.4,-99.96600339188723,31.674979812283535
4.0,1724.5257431047626,0.0,98.92,50.8,-99.8734819942559,17.267103425951912
5.0,1027.0215332875994,0.0,94.0,28.32,-99.55450961943613,10.316172890746607
6.0,681.9914249078173,0.0,83.03,13.86,-98.72409800247532,6.908054251260089
7.0,493.2523839647131,0.0,66.95,6.12,-97.1891545975387,5.075179283195499
